"","bad_trigram"
"1","mad max fury"
"2","max fury road"
"3","fury road i"
"4","fury road is"
"5","d is a"
"6","road is a"
"7","s mad max"
"8","the film i"
"9","of the s"
"10","mad max i"
"11","s and s"
"12","the best action"
"13","mad max movie"
"14","mad max film"
"15","the road warrior"
"16","the mad max"
"17","his film is"
"18","best action movie"
"19","mad max is"
"20","in the s"
"21","a mad max"
"22","the action i"
"23","in spanish  "
"24","review in spanish"
"25","full review in"
"26","tom hardy is"
"27","of mad max"
"28","charlize theron i"
"29","max is a"
"30","george miller has"
"31","mad max w"
"32","s george miller"
"33","movie of  "
"34","director george miller"
"35","mad max a"
"36","the action sequence"
"37","and charlize theron"
"38","charlize theron is"
"39","an action movie"
"40","the plot i"
"41","original mad max"
"42","as good a"
"43","mad max movies"
"44","action movie i"
"45","best movie of"
"46","action sequences a"
"47","the original mad"
"48","the action sequences"
"49","mad max films"
"50","tom hardy and"
"51","what a lovely"
"52","the action scenes"
"53","best action film"
"54","film of  "
"55","the best film"
"56","charlize theron an"
"57","two hours of"
"58","on to the"
"59","from the s"
"60","by charlize theron"
"61","there are so"
"62","the movie a"
"63","charlize theron and"
"64","first mad max"
"65","for the ride"
"66","is an ex"
"67","his was a"
"68","out the film"
"69","action movies i"
"70","road is an"
"71","hardy and charlize"
"72","this is what"
"73","road warrior i"
"74","along for the"
"75","the visuals are"
"76","in the th"
"77","on top of"
"78","in the desert"
"79","mad max franchise"
"80","fury road a"
"81","with the s"
"82","of the original"
"83","in mad max"
"84","an action film"
"85","on and i"
"86","the action an"
"87","movies of the"
"88","to see a"
"89","the first mad"
"90","all the hype"
"91","a group of"
"92","george miller is"
"93","theron is the"
"94","road is the"
"95","from start to"
"96","and tom hardy"
"97","in a post"
"98","special effects and"
"99","the film an"
"100","is mad max"
"101","max beyond thunder"
"102","this is no"
"103","th mad max"
"104","to the original"
"105","the action and"
"106","if you havent"
"107","or mad max"
"108","watch it a"
"109","mad max trilogy"
"110","the war boys"
"111","of the films"
"112","charlize theron as"
"113","best action movies"
"114","action and a"
"115","action movie ever"
"116","film of the"
"117","hour car chase"
"118","mad max beyond"
"119","that mad max"
"120","in spanish  a"
"121","fan of the"
"122","of the action"
"123","george miller s"
"124","to be b"
"125","of a story"
"126","of the mad"
"127","s the road"
"128","a two hour"
"129","is a th"
"130","theron is a"
"131","and the action"
"132","previous mad max"
"133","and one of"
"134","use of cg"
"135","action movies of"
"136","max beyond thunderdome"
"137","a post apocalyptic"
"138","action movie that"
"139","action film with"
"140","post apocalyptic world"
"141","the best of"
"142","millers mad max"
"143","hell of a"
"144","the greatest action"
"145","by tom hardy"
"146","fury road was"
"147","start to finish"
"148","a great action"
"149","of the decade"
"150","is an action"
"151","fury road will"
"152","of the greatest"
"153","best film of"
"154","a movie a"
"155","a lovely day"
"156","of action and"
"157","of the big"
"158","me kind of"
"159","charlize therons character"
"160","i really do"
"161","that there was"
"162","in the midst"
"163","a sense of"
"164","across the desert"
"165","use of cgi"
"166","other mad max"
"167","watching this film"
"168","more than just"
"169","the midst of"
"170","the movie but"
"171","but the action"
"172","action scenes and"
"173","to be i"
"174","the action genre"
"175","action movie of"
"176","and the plot"
"177","of george miller"
"178","max and the"
"179","this one a"
"180","it to a"
"181","the film it"
"182","his mad max"
"183","lack of a"
"184","mad max in"
"185","the character of"
"186","fury road the"
"187","george miller does"
"188","best action films"
"189","at least i"
"190","fury road has"
"191","the action in"
"192","the world of"
"193","action film i"
"194","the film as"
"195","s the plot"
"196","the practical effects"
"197","action sequences are"
"198","s at the"
"199","black and white"
"200","will not be"
"201","back to life"
"202","hardy is a"
"203","george millers mad"
"204","the movie for"
"205","action movie but"
"206","best of the"
"207","one hell of"
"208","hours of my"
"209","in the franchise"
"210","out of this"
"211","george miller aus"
"212","to the mad"
"213","the titular character"
"214","mel gibson a"
"215","first time i"
"216","what to expect"
"217","for you  "
"218","mad max universe"
"219","of this world"
"220","to say i"
"221","little to no"
"222","with mad max"
"223","the previous mad"
"224","action scenes are"
"225","as an action"
"226","on in this"
"227","movie for you"
"228","on its own"
"229","to mad max"
"230","which is a"
"231","to see what"
"232","at all i"
"233","immortan joe a"
"234","of the last"
"235","and nicholas hoult"
"236","of character development"
"237","the dark knight"
"238","but with a"
"239","the dialogue is"
"240","long car chase"
"241","war boys a"
"242","to be an"
"243","of an action"
"244","that is i"
"245","the chase scene"
"246","some kind of"
"247","at a movie"
"248","out of  "
"249","for the action"
"250","of the franchise"
"251","never seen a"
"252","in fury road"
"253","as just a"
"254","of fury road"
"255","addition to the"
"256","to watch a"
"257","road george miller"
"258","for mad max"
"259","the film are"
"260","this year  "
"261","the way the"
"262","movie ive ever"
"263","and this i"
"264","as mad max"
"265","new mad max"
"266","of the actors"
"267","easily the best"
"268","or character development"
"269","action film that"
"270","and the best"
"271","max film i"
"272","great action movie"
"273","best movie i"
"274","do not understand"
"275","a thrill ride"
"276","i dont get"
"277","road is one"
"278","it on the"
"279","movies ever made"
"280","never seen the"
"281","is the first"
"282","action films of"
"283","top of a"
"284","a lovely movie"
"285","to figure out"
"286","is a must"
"287","max movies i"
"288","action films ever"
"289","the use of"
"290","for two hour"
"291","is for you"
"292","out the movie"
"293","one long chase"
"294","of  so fa"
"295","this is where"
"296","the doof warrior"
"297","is there a"
"298","on and so"
"299","would be an"
"300","mel gibson i"
"301","max was a"
"302","that fury road"
"303","end this movie"
"304","the top action"
"305","no story a"
"306","about the film"
"307","so much more"
"308","for george miller"
"309","all of that"
"310","tom hardy as"
"311","furiosa charlize theron"
"312","hardy charlize theron"
"313","and the character"
"314","the s a"
"315","my opinion i"
"316","with tom hardy"
"317","to return to"
"318","film is i"
"319","return to the"
"320","stunt work and"
"321","movie the action"
"322","on the action"
"323","of the series"
"324","didnt like it"
"325","fury road george"
"326","at in the"
"327","road warrior  "
"328","is a thrill"
"329","and it did"
"330","the bad guys"
"331","watch this movie"
"332","car chase  "
"333","for best picture"
"334","and all i"
"335","about it i"
"336","till the end"
"337","movie should be"
"338","to george miller"
"339","theron as furiosa"
"340","stunts and a"
"341","me it was"
"342","of tom hardy"
"343","to be so"
"344","mad max fan"
"345","my favorite action"
"346","film with a"
"347","i didnt like"
"348","furiosa and max"
"349","about mad max"
"350","not sure i"
"351","in the world"
"352","to the franchise"
"353","for all the"
"354","car chase i"
"355","for the ages"
"356","like no other"
"357","miller does a"
"358","damsels in distress"
"359","but i still"
"360","in a postapocalyptic"
"361","all of his"
"362","and mad max"
"363","the past  "
"364","a movie in"
"365","not only a"
"366","but in the"
"367","which are a"
"368","mad max y"
"369","and special effects"
"370","on as a"
"371","in every way"
"372","action film a"
"373","best mad max"
"374","of the world"
"375","lovely day indeed"
"376","easily one of"
"377","films ive ever"
"378","the world is"
"379","aspect of the"
"380","if you watch"
"381","to say it"
"382","the original trilogy"
"383","no character development"
"384","the visuals and"
"385","much of the"
"386","when i saw"
"387","seen a mad"
"388","by far the"
