bad_trigram,V2,valididty,sentiment
lots of laughs,6,valid,positive
loved it the,6,valid,positive
enjoyed this one,6,valid,positive
i was excited,6,valid,positive
the funniest movie,7,valid,positive
enjoyed this film,7,valid,positive
thoroughly enjoyed this,7,valid,positive
its funny enough,7,valid,positive
a strong cast,7,valid,positive
best movie ever,7,valid,positive
characters were cute,7,valid,positive
has some great,7,valid,positive
i thoroughly enjoyed,7,valid,positive
delivers the goods,7,valid,positive
is the funniest,7,valid,positive
funny and interesting,7,valid,positive
funny and clever,7,valid,positive
an incredibly funny,8,valid,positive
good enough to,8,valid,positive
it was great,8,valid,positive
enjoyed my time,8,valid,positive
a neat twist,8,valid,positive
in love with,8,valid,positive
funniest movie i,8,valid,positive
you will enjoy,8,valid,positive
the audience laughed,8,valid,positive
with a solid,8,valid,positive
movie i believe,8,valid,positive
also pretty good,8,valid,positive
work well together,8,valid,positive
is an incredibly,8,valid,positive
feel good movie,8,valid,positive
enjoy this film,8,valid,positive
really enjoyed watching,8,valid,positive
actors were good,8,valid,positive
is a perfect,8,valid,positive
with an intriguing,8,valid,positive
best part of,8,valid,positive
a feel good,8,valid,positive
i also enjoyed,8,valid,positive
it was hilarious,8,valid,positive
as satisfying as,8,valid,positive
a genuinely funny,8,valid,positive
a very good,8,valid,positive
i was entertained,8,valid,positive
couldnt stop laughing,8,valid,positive
the best thing,8,valid,positive
was a great,8,valid,positive
funny and entertaining,8,valid,positive
a good looking,8,valid,positive
an interesting premise,8,valid,positive
best in the,8,valid,positive
is pretty good,8,valid,positive
satisfying as it,8,valid,positive
i enjoyed my,8,valid,positive
very good as,8,valid,positive
is a fun,8,valid,positive
is pretty solid,8,valid,positive
make a perfect,8,valid,positive
i admired the,8,valid,positive
enjoyed the first,9,valid,positive
i loved this,10,valid,positive
loved this movie,10,valid,positive
liked this film,10,valid,positive
movie was hilarious,10,valid,positive
with a great,11,valid,positive
i enjoyed this,11,valid,positive
i loved the,11,valid,positive
a promising premise,11,valid,positive
very very funny,11,valid,positive
really funny movie,11,valid,positive
laughed out loud,11,valid,positive
love this movie,11,valid,positive
a good plot,12,valid,positive
a really good,12,valid,positive
i did enjoy,12,valid,positive
pretty good and,12,valid,positive
list absolutely flawless,12,valid,positive
attention to detail,12,valid,positive
cast is good,12,valid,positive
have a good,12,valid,positive
it was funny,12,valid,positive
it is hilarious,12,valid,positive
was an enjoyable,12,valid,positive
enjoyed the movie,12,valid,positive
is well done,12,valid,positive
excited to see,12,valid,positive
absolutely flawless  ,14,valid,positive
movie is funny,14,valid,positive
enjoy this movie,14,valid,positive
very funny movie,14,valid,positive
the best movie,14,valid,positive
i loved it,14,valid,positive
i enjoyed it,15,valid,positive
make it worth,15,valid,positive
a great movie,15,valid,positive
was very funny,15,valid,positive
has a good,16,valid,positive
it was fun,16,valid,positive
really enjoyed this,18,valid,positive
i enjoyed the,18,valid,positive
a very funny,18,valid,positive
very funny and,19,valid,positive
i really enjoyed,19,valid,positive
was the best,21,valid,positive
made me laugh,23,valid,positive
a good movie,23,valid,positive
enjoyed this movie,27,valid,positive
was pretty good,27,valid,positive
a good job,32,valid,positive
