bad_trigram,V2,valididty,sentiment
lacks enough guts,5,valid,negative
this painfully unfunny,5,valid,negative
its worse than,5,valid,negative
us wonder throughout,5,valid,negative
bottomless well of,5,valid,negative
floundering star turn,5,valid,negative
i didnt laugh,5,valid,negative
general mediocrity in,5,valid,negative
the ugliest film,5,valid,negative
this grossout comedy,5,valid,negative
a terrible movie,6,valid,negative
the years worst,6,valid,negative
mediocrity in most,6,valid,negative
are you kidding,6,valid,negative
a stupid ending,6,valid,negative
movie looks horrible,6,valid,negative
waste of your,6,valid,negative
where the hell,6,valid,negative
movie was not,7,valid,negative
doesnt have the,7,valid,negative
no idea why,7,valid,negative
i dont understand,7,valid,negative
dont like will,7,valid,negative
very bad things,7,valid,negative
i havent seen,7,valid,negative
was the worst,7,valid,negative
is nothing more,7,valid,negative
astonished and horrified,7,valid,negative
years worst movies,7,valid,negative
nothing new to,7,valid,negative
dont understand all,7,valid,negative
incredibly predictable and,7,valid,negative
movie ever made,7,valid,negative
jokes are lame,7,valid,negative
fate it deserves,7,valid,negative
is not good,7,valid,negative
is best avoided,7,valid,negative
just dont understand,7,valid,negative
is nothing but,7,valid,negative
not enough to,7,valid,negative
worst animated movie,7,valid,negative
is not believable,7,valid,negative
dont know what,7,valid,negative
problem with this,7,valid,negative
has no purpose,7,valid,negative
did not laugh,7,valid,negative
hated this movie,7,valid,negative
what the heck,7,valid,negative
for cheap laughs,8,valid,negative
so predictable and,8,valid,negative
didnt think this,8,valid,negative
nothing but a,8,valid,negative
desperate for a,8,valid,negative
dont think it,8,valid,negative
and desperately unfunny,8,valid,negative
waste your money,8,valid,negative
movie do not,8,valid,negative
attempt to impress,8,valid,negative
worst of all,8,valid,negative
generic and cliched,8,valid,negative
doesnt give you,8,valid,negative
dont expect anything,8,valid,negative
dont understand the,8,valid,negative
not really the,8,valid,negative
a predictable story,8,valid,negative
and not funny,8,valid,negative
worst movie ive,8,valid,negative
not worth your,8,valid,negative
was terrible it,8,valid,negative
enough for me,8,valid,negative
worst horror film,8,valid,negative
suffers from a,8,valid,negative
piece of shit,8,valid,negative
with cliches and,8,valid,negative
not funny its,8,valid,negative
very few laughs,8,valid,negative
the biggest problem,8,valid,negative
flaws in the,8,valid,negative
boring and predictable,8,valid,negative
not really that,8,valid,negative
a spooky atmosphere,8,valid,negative
supposed to do,8,valid,negative
got it wrong,8,valid,negative
are stupid and,8,valid,negative
was bored out,8,valid,negative
couldnt seem to,8,valid,negative
it just wasnt,8,valid,negative
bad that it,8,valid,negative
i had expected,8,valid,negative
i wouldnt pay,8,valid,negative
doesnt have a,8,valid,negative
are left wondering,8,valid,negative
creeped out by,8,valid,negative
was supposed to,8,valid,negative
wish i could,8,valid,negative
is so predictable,8,valid,negative
none of this,8,valid,negative
should be ashamed,8,valid,negative
predictable but the,8,valid,negative
with low expectations,8,valid,negative
didnt make sense,8,valid,negative
suffered from a,8,valid,negative
not only is,8,valid,negative
as a bad,8,valid,negative
funny parts not,8,valid,negative
bad and it,8,valid,negative
bad movie  ,8,valid,negative
and predictable a,8,valid,negative
be ashamed of,8,valid,negative
i expected a,8,valid,negative
is anything but,8,valid,negative
to be desired,8,valid,negative
with no redeeming,8,valid,negative
had to leave,8,valid,negative
gone missing in,8,valid,negative
i was expecting,8,valid,negative
bad as the,8,valid,negative
but it doesnt,8,valid,negative
i was bored,8,valid,negative
but the movie,39,valid,negative
say the least,8,valid,negative
this movie wasnt,8,valid,negative
the worst movie,38,valid,negative
is definitely not,8,valid,negative
pretty bad movie,8,valid,negative
the most ridiculous,8,valid,negative
doesnt make sense,8,valid,negative
mediocre horror film,8,valid,negative
makes no sense,8,valid,negative
a waste of,37,valid,negative
i wasnt expecting,8,valid,negative
it was awful,8,valid,negative
let down by,8,valid,negative
could not save,8,valid,negative
does nothing to,8,valid,negative
with a predictable,8,valid,negative
a creepy atmosphere,8,valid,negative
is not only,8,valid,negative
problem with the,8,valid,negative
movie is predictable,8,valid,negative
pretty generic and,8,valid,negative
not funny enough,8,valid,negative
not even funny,8,valid,negative
not amusing a,8,valid,negative
really dont understand,8,valid,negative
there are no,8,valid,negative
not enough of,8,valid,negative
the director cant,8,valid,negative
too bad the,8,valid,negative
this was just,8,valid,negative
didnt really work,8,valid,negative
only bright spot,8,valid,negative
just not enough,8,valid,negative
in this mess,8,valid,negative
waste of talent,8,valid,negative
with a troubled,8,valid,negative
there wasnt a,8,valid,negative
dont have to,8,valid,negative
a complete waste,8,valid,negative
complete waste of,9,valid,negative
worst films of,10,valid,negative
the worst horror,11,valid,negative
there is no,32,valid,negative
doesnt help that,11,valid,negative
worst movie of,11,valid,negative
at all  ,32,valid,negative
left the theater,11,valid,negative
waste your time,11,valid,negative
waste of time,32,valid,negative
i dont like,11,valid,negative
dont waste your,11,valid,negative
its just not,12,valid,negative
this movie doesnt,12,valid,negative
but not enough,12,valid,negative
just dont expect,12,valid,negative
worst animated film,12,valid,negative
biggest problem is,12,valid,negative
there was no,12,valid,negative
the movie doesnt,12,valid,negative
problem is the,12,valid,negative
its not funny,12,valid,negative
not funny it,12,valid,negative
it doesnt make,12,valid,negative
skip it  ,12,valid,negative
nothing about this,12,valid,negative
shame on you,12,valid,negative
in need of,12,valid,negative
worst movies ive,12,valid,negative
hit and miss,12,valid,negative
but the execution,12,valid,negative
a wasted opportunity,12,valid,negative
but fails to,12,valid,negative
you would expect,12,valid,negative
the worst animated,12,valid,negative
but that doesnt,12,valid,negative
the worst i,12,valid,negative
how bad it,12,valid,negative
the only thing,15,valid,negative
the worst movies,15,valid,negative
cant help but,15,valid,negative
worse than the,16,valid,negative
worst movies i,16,valid,negative
bottom of the,16,valid,negative
film is not,16,valid,negative
its a waste,16,valid,negative
was terrible i,16,valid,negative
the lack of,16,valid,negative
i cant believe,17,valid,negative
the worst film,17,valid,negative
worst movie i,17,valid,negative
save your money,18,valid,negative
the only reason,19,valid,negative
not funny i,19,valid,negative
problem is that,19,valid,negative
cheap jump scares,20,valid,negative
its not even,20,valid,negative
a lack of,20,valid,negative
not sure why,21,valid,negative
nothing more than,23,valid,negative
cheap jump scare,24,valid,negative
wanted to see,26,valid,negative
not a good,26,valid,negative
none of the,28,valid,negative
